id,name,price,rating,img_link,category
49849504,"Kartepe, Turkey","₹8,078 per night",4.71,https://a0.muscache.com/im/pictures/cf7f3f57-8a00-4397-acea-c891760d4b2f.jpg?im_w=720,A-frames
50891766,"Kaş, Turkey","₹4,665 per night",New,https://a0.muscache.com/im/pictures/449c8751-08fa-4cf0-b3a5-b06875a93217.jpg?im_w=720,A-frames
50699164,"Imereti, Georgia","₹5,991 per night",4.85,https://a0.muscache.com/im/pictures/miso/Hosting-50699164/original/8ab5140b-dbf1-4d0e-a026-d5735af23703.jpeg?im_w=720,A-frames
49871422,"Sapanca, Turkey","₹11,339 per night",5.0,https://a0.muscache.com/im/pictures/72e6396e-e0c2-436c-b6b7-b985415cc31f.jpg?im_w=720,A-frames
51245886,"Sapanca, Turkey","₹6,673 per night",New,https://a0.muscache.com/im/pictures/73973308-e01c-4023-982e-2f8f7a0af015.jpg?im_w=720,A-frames
48650769,"Sapanca, Turkey","₹14,729 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-48650769/original/42d962a1-19ef-4b27-81d4-5d93a5d3fb4b.jpeg?im_w=720,A-frames
50765985,"Kaş, Turkey","₹12,312 per night",New,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50765985/original/08bf9b96-95c1-4f89-a10a-64de31f82ff1.jpeg?im_w=720,A-frames
40947216,"Akçalı, Turkey","₹13,655 per night",New,https://a0.muscache.com/im/pictures/ec526656-7dc7-42dd-b81f-abdaaa321496.jpg?im_w=720,A-frames
34043569,"Thành phố Đà Lạt, Vietnam","₹1,747 per night",New,https://a0.muscache.com/im/pictures/0e7cb376-279c-4822-87df-476896ee2036.jpg?im_w=720,A-frames
42075682,"Tambon Bang Kachai, Thailand","₹30,486 per night",4.67,https://a0.muscache.com/im/pictures/2cf0fb84-e01e-4439-8635-e8c0cca9396e.jpg?im_w=720,A-frames
50425621,"Sanoe-myeon, Boeun-gun, South Korea","₹9,052 per night",4.97,https://a0.muscache.com/im/pictures/a014c3c4-8f0a-4a35-88e7-e0fd0f7938f5.jpg?im_w=720,A-frames
46057058,"Dharmshala, India","₹5,705 per night",4.89,https://a0.muscache.com/im/pictures/70519672-449a-4804-86bd-3d5033c45ca4.jpg?im_w=720,A-frames
50689801,"Amadeo, Philippines","₹14,612 per night",4.83,https://a0.muscache.com/im/pictures/miso/Hosting-50689801/original/95575f64-6bd9-4e2a-a97c-d974981667e3.jpeg?im_w=720,A-frames
53708687,"Tanay, Philippines","₹8,929 per night",4.87,https://a0.muscache.com/im/pictures/003eff42-2f7f-4ba3-8358-92346ede2368.jpg?im_w=720,A-frames
48325030,"Geyve, Turkey","₹3,763 per night",4.71,https://a0.muscache.com/im/pictures/fa8c9f54-c91d-4b6f-bea4-35440c792240.jpg?im_w=720,A-frames
620245309297447077,"Muratpaşa, Turkey","₹22,758 per night",5.0,https://a0.muscache.com/im/pictures/b8140ba0-fec0-44a5-a0af-5b1d5ee7d1d4.jpg?im_w=720,A-frames
48255254,"Sapanca, Turkey","₹11,289 per night",4.9,https://a0.muscache.com/im/pictures/0c7fa11a-e281-408b-81ab-514c8928c5d4.jpg?im_w=720,A-frames
628273169113266405,"İstanbul, Turkey","₹7,526 per night",4.75,https://a0.muscache.com/im/pictures/f3a1eed4-f70c-493a-ae81-02debb24cfd3.jpg?im_w=720,A-frames
49982847,"Dikkaya, Turkey","₹5,018 per night",4.76,https://a0.muscache.com/im/pictures/c4930b91-ec74-4968-bff8-cbb308e584c4.jpg?im_w=720,A-frames
